Date,Summary,Aim,Plate,Plate contents,Wash Number,Control Plate,Plate pouring,Plate spreading/making,Plate contents autoclaved,Bleach concentration percentage,Bleach notes,Treatment code.  ,Flies code (sex/strain). ,Number of flies,Replicate ID,Incubation time (hours),Incubation temp celsius,Date plate read,Short description of plate,% of plate covered in bacteria ,Colony morphology,Image link ,Researcher(s),Link to protocol and Benchling lab note entry
23/09/2025,"Unwashed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if PBS will pick up bacteria from the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,23_09_25_3_1,asg_male_2d,N/A,1,24,37,24/09/2025,Large splodge of growth.,10,Circular growth,IMG_5734.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Unwashed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if PBS will pick up bacteria from the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,,23_09_25_3_2,asg_male_2d,N/A,2,24,37,24/09/2025,Colonies moprhed together to greate a little shape,8,,IMG_5735.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Washed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if bleach kills bacteria on the surface of the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,23_09_25_3_3,asg_male_2d,N/A,1,24,37,24/09/2025,Tiny one colony growth,< 1,Small and circular,IMG_5736.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,"Washed fly submerged in PBS for 1 minute, PBS wash plated.",Tests if bleach kills bacteria on the surface of the fly. ,LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,18_09_25_3_4,asg_male_2d,N/A,2,24,37,24/09/2025,,,,,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Bleach fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,,,23_09_25_3_3,asg_male_2d,1,1,24,37,24/09/2025,Many splodges of growth with coloies combined together.,30,Thick rhizoid shapes.,IMG_5737.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Bleach fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,,,23_09_25_3_4,asg_female_2d,1,2,24,37,24/09/2025,Many splodges of growth with coloies combined together.,35,Thick rhizoid shapes.,IMG_5738.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Dirty fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,,,23_09_25_4_1,asg_male_2d,1,1,24,37,24/09/2025,"Large colonies together, splodged. ",25,Large circles. ,IMG_5739.png,Katie Millar,23_09_2025_SS_labnnotes
23/09/2025,Dirty fly spread directly onto plate.,Tests if LB plate specifically picks up bacteria,LB,Direct fly contact,N/A,No,Lab bench next to bunsen,Lab bench next to bunsen,No.,,,23_09_25_4_2,asg_female_2d,1,2,24,37,24/09/2025,"Large colonies together, splodged. ",25,Large circles. ,IMG_5740.png,Katie Millar,23_09_2025_SS_labnnotes
26/09/2025,"Unwashed fly submerged in PBS for 30 seconds, PBS wash plated.",Tests if LB plate specifically picks up bacteria from PBS. ,LB,PBS wash,1,Yes,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_1_2,asg_female_,3,1,,,27/09/2025,Lots ad lots of tiny colonies,50,Tiny colonies,IMG_5764.png,Katie Millar,
26/09/2025,"Unwashed fly submerged in PBS for 30 seconds, PBS wash plated.",Tests if LB plate specifically picks up bacteria from PBS. ,LB,PBS wash,1,Yes,Lab bench next to bunsen,Lab bench next to bunsen,No.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_1_2,asg_female_,3,2,,,27/09/2025,"Large splodges of growth, colonies joined together. Some small colonies.",25,Large splodges of joined together colonies.,IMG_5765.png,Katie Millar,
26/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,"Tests bacterial growth from one bleach, and one PBS rinse. ",LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_2_1,asg_female_,3,1,,,27/09/2025,"One large splodge of joined together colonies, some lighter shadow joined together colonies.",10,Large splodges of joined together colonies.,IMG_5768.png,Katie Millar,
26/09/2025,Fly washed in bleach for 1 minute then PBS for 30s. PBS wash plated out,"Tests bacterial growth from one bleach, and one PBS rinse. ",LB,PBS wash,1,No,Lab bench next to bunsen,Lab bench next to bunsen,Yes.,0.8,Stock bleach was 10-15% calculation assumed middle concentration valid. Stock was 5 days old. ,26_09_25_2_1,asg_female_,3,2,,,27/09/2025,One small colony,< 1,Small colony,IMG_5769.png,Katie Millar,
26/09/2025,Just sterile PBS on a plate. No flies. ,,LB,PBS wash,,,,,Yes.,,,,,,,,,27/09/2025,One small colony,< 1,Small colony,IMG_5771.png,Katie Millar,
26/09/2025,Just sterile PBS on a plate. No flies. ,,LB,PBS wash,,,,,Yes.,,,,,,,,,27/09/2025,"Large splodges of growth, colonies joined together. Some small colonies.",8,Large splodgs of joined together colonies.,IMG_5770.png,Katie Millar,
26/09/2025,A plain LB plate with nothing on,,LB,None. ,,,,,Yes.,,,,,,,,,27/09/2025,A few small colonies,1,Small colony,IMG_5772.png,Katie Millar,
26/09/2025,A plain LB plate with nothing on,,LB,None. ,,,,,Yes.,,,,,,2,,,27/09/2025,No growth. ,0,N/A,IMG_5773.png,Katie Millar,
16/10/2025,"An LB plate, with nothing added. ",To test if the LB plates used for the sterility tests are sterile. ,LB,None. ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_1_1,,N/A,1,24,37,17/10/2025,No growth. ,0,,IMG_5741.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"An LB plate, with nothing added. ",To test if the LB plates used for the sterility tests are sterile. ,LB,None. ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_1_2,,N/A,2,24,37,17/10/2025,No growth. ,0,,IMG_5742.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"An LB plate, with nothing added. ",To test if the LB plates used for the sterility tests are sterile. ,LB,None. ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_1_3,,N/A,3,24,37,17/10/2025,No growth. ,0,,IMG_5743.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Bleach solution (no flies added) plated on an LB plate.,"To test the bleach is sterile, as the solution is made. ",LB,Bleach ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_2_1,,N/A,1,24,37,17/10/2025,No growth. ,0,,IMG_5744.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Bleach solution (no flies added) plated on an LB plate.,"To test the bleach is sterile, as the solution is made. ",LB,Bleach ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_2_2,,N/A,2,24,37,17/10/2025,No growth. ,0,,IMG_5745.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Bleach solution (no flies added) plated on an LB plate.,"To test the bleach is sterile, as the solution is made. ",LB,Bleach ,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_2_3,,N/A,3,24,37,17/10/2025,No growth. ,0,,IMG_5746.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Filter paper is folded and placed on an LB plate.,To test if the filter paper used for the sterile washes is sterile,LB,Filter paper,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,No.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_3_1,,N/A,1,24,37,17/10/2025,Large lamoung if growth surrounding and on filter paper. ,30,Lawn colonies. ,IMG_5747.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Filter paper is folded and placed on an LB plate.,To test if the filter paper used for the sterile washes is sterile,LB,Filter paper,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,No.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_3_2,,N/A,2,24,37,17/10/2025,Large lamoung if growth surrounding and on filter paper. ,30,Lawn colonies. ,IMG_5748.png,"Katie Millar, 
Emily Fowler",
16/10/2025,Filter paper is folded and placed on an LB plate.,To test if the filter paper used for the sterile washes is sterile,LB,Filter paper,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,No.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_3_3,,N/A,3,24,37,17/10/2025,Large lamoung if growth surrounding and on filter paper. ,30,Lawn colonies. ,IMG_5749.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"Sterile PBS only plated, no flies introduced at any time.",To test if the PBS solution used for rinsing is sterile.,LB,PBS ,1,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_4_1,,N/A,1,24,37,17/10/2025,No growth. ,0,,IMG_5756.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"Sterile PBS only plated, no flies introduced at any time.",To test if the PBS solution used for rinsing is sterile.,LB,PBS ,1,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_4_2,,N/A,2,24,37,17/10/2025,No growth. ,0,,IMG_5757.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"Sterile PBS only plated, no flies introduced at any time.",To test if the PBS solution used for rinsing is sterile.,LB,PBS ,1,Yes,Under flow hood.,Lab bench next to bunsen. ,Yes.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_4_3,,N/A,3,24,37,17/10/2025,No growth. ,0,,IMG_5758.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"A dirty, unsterlised fly is wiped on a plate.",To test if rubbing a dirty fly on an LB plate will pick up bacteria. ,LB,Dirty fly.,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,No.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_5_1,,4,1,24,37,17/10/2025,Big stripes of bacteria,40,,IMG_5752.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"A dirty, unsterlised fly is wiped on a plate.",To test if rubbing a dirty fly on an LB plate will pick up bacteria. ,LB,Dirty fly.,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,No.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_5_2,,4,2,24,37,17/10/2025,"Large colonies together, splodged. ",10,,IMG_5750.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"A dirty, unsterlised fly is wiped on a plate.",To test if rubbing a dirty fly on an LB plate will pick up bacteria. ,LB,Dirty fly.,N/A,Yes,Under flow hood.,Lab bench next to bunsen. ,No.,N/A,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_5_3,,4,3,24,37,17/10/2025,"Large colonies together, splodged. ",5,,IMG_5751.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"A clean, surface sterilised fly is wiped on a plate. ",To test if the surface sterilisation process successfully cleaned the fly. ,LB,Surface sterilised fly.,N/A,No,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_6_1,,5,1,24,37,17/10/2025,No growth. ,0,,IMG_5753.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"A clean, surface sterilised fly is wiped on a plate. ",To test if the surface sterilisation process successfully cleaned the fly. ,LB,Surface sterilised fly.,N/A,No,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_6_2,,5,2,24,37,17/10/2025,No growth. ,0,,IMG_5754.png,"Katie Millar, 
Emily Fowler",
16/10/2025,"A clean, surface sterilised fly is wiped on a plate. ",To test if the surface sterilisation process successfully cleaned the fly. ,LB,Surface sterilised fly.,N/A,No,Under flow hood.,Lab bench next to bunsen. ,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 1 day old, solution made on the day.",16_10_2025_6_3,,5,3,24,37,17/10/2025,No growth. ,0,,IMG_5755.png,"Katie Millar, 
Emily Fowler",
22/10/2025,Filter paper is folded and placed on an LB plate.,"Previous work showed that new filter paper is not sterile, so using this as a control against autoclaved filter paper. ",LB,Filter paper,N/A,Yes,Under flow hood.,Under flow hood.,No.,N/A,,22_10_2025_1_1,,N/A,1,24,37,,Big growth of bacteria,25,,IMG_5779.png,Katie Millar,
22/10/2025,Filter paper is folded and placed on an LB plate.,"Previous work showed that new filter paper is not sterile, so using this as a control against autoclaved filter paper. ",LB,Filter paper,N/A,Yes,Under flow hood.,Under flow hood.,No.,N/A,,22_10_2025_1_2,,N/A,2,24,37,,Big growth of bacteria,20,,IMG_5778.png,Katie Millar,
22/10/2025,Autoclaved filter paper is folded and placed on an LB plate.,Testing if autoclaving filter paper successfully makes the filter paper sterile.,LB,Autoclaved filter paper,N/A,Yes,Under flow hood.,Under flow hood.,Yes.,N/A,,22_10_2025_2_1,,N/A,1,24,37,,Little growth around,25,,IMG_5777.png,Katie Millar,
22/10/2025,Autoclaved filter paper is folded and placed on an LB plate.,Testing if autoclaving filter paper successfully makes the filter paper sterile.,LB,Autoclaved filter paper,N/A,Yes,Under flow hood.,Under flow hood.,Yes.,N/A,,22_10_2025_2_2,,N/A,2,24,37,,Little growth around,20,,,Katie Millar,
22/10/2025,A surface sterilised fly is rubbed on a plate. ,,LB,A  surface sterilised fly. ,N/A,No ,Under flow hood.,Under flow hood.,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 7 days old, solution made on the day.",22_10_2025_3_1,,N/A,1,24,37,,Big stripes of bacteria,25,,IMG_5775.png,Katie Millar,
22/10/2025,A surface sterilised fly is rubbed on a plate. ,,LB,A  surface sterilised fly. ,N/A,No,Under flow hood.,Under flow hood.,Yes.,0.8,"Stock bleach was 10-15% calculation assumed middle concentration. Stock was 7 days old, solution made on the day.",22_10_2025_3_2,,N/A,2,24,37,,Big stripes of bacteria,25,,,Katie Millar,
22/10/2025,"A dirty, unsterlised fly is wiped on a plate.",To test if rubbing a dirty fly on an LB plate will pick up bacteria. ,LB,A dirty fly. ,N/A,Yes,Under flow hood.,Under flow hood.,No.,N/A,,22_10_2025_4_1,,N/A,1,24,37,,Stripes everywhere,50,,IMG_5780.png,Katie Millar,
22/10/2025,"A dirty, unsterlised fly is wiped on a plate.",To test if rubbing a dirty fly on an LB plate will pick up bacteria. ,LB,A dirty fly. ,N/A,Yes,Under flow hood.,Under flow hood.,No.,N/A,,22_10_2025_4_2,,N/A,2,24,37,,Stripes everywhere,25,,IMG_5781.png,Katie Millar,
27/10/2025,A control LB plate. ,,LB,Plain LB plate.,N/A,Yes,"Under flow hood, dried under UV light.",Under flow hood.,Yes.,N/A,N/A,27_10_2025_1_1,N/A,N/A,1,24,37,,No growth. ,0,N/A,IMG_5817.heic,Katie Millar,
27/10/2025,A control LB plate. ,,LB,Plain LB plate.,N/A,Yes,"Under flow hood, dried under UV light.",Under flow hood.,Yes.,N/A,N/A,27_10_2025_1_2,N/A,N/A,2,24,37,,No growth. ,0,N/A,IMG_5818.heic,Katie Millar,
27/10/2025,A control LB plate. ,,LB,Plain LB plate.,N/A,Yes,"Under flow hood, dried under UV light.",Under flow hood.,Yes.,N/A,N/A,27_10_2025_1_3,N/A,N/A,3,24,37,,No growth. ,0,N/A,IMG_5819.heic,Katie Millar,
